slNo,cust_id,cust_score,days_in_cart,purchase_hist,gender,rating,purchase
2542,4042,28,52,0,male,0,1
2543,4043,59,15,0,female,3,1
2544,4044,58,33,0,male,5,1
2545,4045,8,8,0,female,5,1
2546,4046,98,17,1,female,4,1
2547,4047,85,32,1,female,1,1
2548,4048,26,36,1,female,1,1
2549,4049,97,8,1,male,4,1
2550,4050,22,8,1,female,1,0
2551,4051,59,51,0,male,4,0
2552,4052,49,54,0,female,5,0
2553,4053,78,28,0,female,1,0
2554,4054,73,4,0,male,0,0
2555,4055,54,45,1,male,4,0
2556,4056,25,23,1,male,5,1
2557,4057,47,2,1,male,4,0
2558,4058,71,51,1,male,2,1
2559,4059,48,30,1,male,4,1
2560,4060,20,59,0,female,0,1
2561,4061,77,37,1,male,2,0
2562,4062,24,33,0,male,2,1
2563,4063,87,39,0,male,2,1
2564,4064,23,45,1,female,0,1
2565,4065,43,32,1,female,5,1
2566,4066,98,23,0,male,2,1
2567,4067,54,1,0,female,2,0
2568,4068,51,21,0,male,4,1
2569,4069,66,42,1,female,1,1
2570,4070,91,7,1,male,4,1
2571,4071,2,37,0,male,1,0
2572,4072,32,48,1,female,0,1
2573,4073,74,28,0,female,1,0
2574,4074,11,12,1,female,0,0
2575,4075,67,18,0,female,3,1
2576,4076,56,37,0,female,2,0
2577,4077,34,27,1,male,0,0
2578,4078,20,35,1,female,5,0
2579,4079,64,42,0,male,1,0
2580,4080,48,21,0,female,3,1
2581,4081,57,53,1,female,3,0
2582,4082,40,8,0,male,2,0
2583,4083,96,36,0,female,5,1
2584,4084,95,29,1,male,4,1
2585,4085,44,20,0,female,1,0
2586,4086,16,46,1,male,5,0
2587,4087,69,50,0,male,4,1
2588,4088,41,23,0,male,2,0
2589,4089,58,51,1,male,0,0
2590,4090,64,12,1,female,4,0
2591,4091,35,34,1,female,1,1
2592,4092,58,16,0,male,2,1
2593,4093,82,25,0,male,3,1
2594,4094,15,49,1,female,0,0
2595,4095,9,31,0,male,3,1
2596,4096,34,18,1,male,3,0
2597,4097,27,17,0,female,2,0
2598,4098,60,28,0,male,1,1
2599,4099,96,41,1,female,5,1
2600,4100,11,3,0,female,4,0
2601,4101,79,59,0,female,5,1
2602,4102,94,24,0,female,2,1
2603,4103,88,54,0,female,5,1
2604,4104,52,40,1,female,0,0
2605,4105,31,50,0,female,4,0
2606,4106,62,17,0,male,2,1
2607,4107,21,43,0,female,5,0
2608,4108,56,15,1,female,1,1
2609,4109,5,51,0,male,2,0
2610,4110,83,27,0,female,4,1
2611,4111,8,58,1,male,2,0
2612,4112,11,6,0,female,5,0
2613,4113,86,40,0,male,0,1
2614,4114,87,24,0,male,0,1
2615,4115,27,33,0,female,0,1
2616,4116,36,8,1,female,3,0
2617,4117,22,58,1,male,1,0
2618,4118,28,12,1,female,3,1
2619,4119,30,9,1,female,5,0
2620,4120,98,60,0,female,5,1
2621,4121,40,39,1,male,3,0
2622,4122,42,42,0,male,5,0
2623,4123,18,44,0,male,0,0
2624,4124,88,15,0,male,1,1
2625,4125,79,9,1,male,5,1
2626,4126,66,6,1,female,0,1
2627,4127,22,57,0,female,3,0
2628,4128,8,55,1,female,0,0
2629,4129,26,54,1,female,5,0
2630,4130,44,36,0,female,1,1
2631,4131,41,16,1,female,2,1
2632,4132,35,12,1,male,0,0
2633,4133,82,20,1,female,0,1
2634,4134,5,35,1,female,5,0
2635,4135,44,45,0,female,0,1
2636,4136,29,34,0,male,2,0
2637,4137,34,54,1,male,3,1
2638,4138,78,18,1,male,5,1
2639,4139,95,32,1,male,3,1
2640,4140,23,52,1,female,2,0
2641,4141,32,53,0,female,4,0
2642,4142,32,38,0,male,5,1
2643,4143,28,5,1,male,5,0
2644,4144,57,17,0,male,5,1
2645,4145,96,30,0,female,4,1
2646,4146,22,4,0,male,2,1
2647,4147,16,28,0,male,1,0
2648,4148,52,27,1,female,0,0
2649,4149,3,51,1,male,3,1
2650,4150,70,29,0,male,0,0
2651,4151,5,52,1,female,0,0
2652,4152,96,43,0,female,0,1
2653,4153,36,7,1,male,4,0
2654,4154,95,18,1,female,4,1
2655,4155,56,36,1,male,4,1
2656,4156,30,38,1,male,4,0
2657,4157,6,14,1,female,0,0
2658,4158,96,54,0,male,3,1
2659,4159,81,40,0,female,3,1
2660,4160,85,46,0,female,1,1
2661,4161,49,5,0,female,5,1
2662,4162,99,34,1,male,5,1
2663,4163,12,25,0,female,3,1
2664,4164,24,9,1,male,3,0
2665,4165,48,9,1,male,2,0
2666,4166,19,57,0,male,5,1
2667,4167,26,22,1,male,2,1
2668,4168,2,53,0,female,2,0
2669,4169,9,46,1,male,1,0
2670,4170,47,43,0,female,5,0
2671,4171,66,43,0,male,0,0
2672,4172,2,36,0,female,5,1
2673,4173,56,60,1,female,1,1
2674,4174,12,29,0,male,4,0
2675,4175,61,40,1,female,4,0
2676,4176,87,52,0,male,3,1
2677,4177,30,20,1,male,2,1
2678,4178,24,15,1,male,4,1
2679,4179,69,33,1,female,3,0
2680,4180,32,27,0,male,4,0
2681,4181,88,4,1,male,3,1
2682,4182,67,26,0,male,0,1
2683,4183,87,11,1,female,4,1
2684,4184,31,6,1,male,2,0
2685,4185,72,26,0,male,3,1
2686,4186,53,17,1,female,2,1
2687,4187,7,22,0,male,0,0
2688,4188,25,47,1,male,0,1
2689,4189,62,42,0,male,5,1
2690,4190,3,48,0,female,4,0
2691,4191,23,7,1,male,4,0
2692,4192,30,45,0,female,2,1
2693,4193,5,28,1,female,2,0
2694,4194,87,25,1,male,5,1
2695,4195,2,3,1,female,4,1
2696,4196,2,57,0,male,5,1
2697,4197,59,56,1,male,0,0
2698,4198,92,46,0,male,1,1
2699,4199,49,24,1,female,0,1
2700,4200,34,14,0,male,5,1
2701,4201,29,24,1,male,0,1
2702,4202,66,28,0,male,4,1
2703,4203,30,22,1,female,2,0
2704,4204,11,19,0,male,1,0
2705,4205,87,43,1,male,5,1
2706,4206,52,39,0,male,1,1
2707,4207,94,34,1,male,5,1
2708,4208,70,20,0,male,2,1
2709,4209,16,57,1,female,0,0
2710,4210,80,39,0,female,1,1
2711,4211,73,60,1,female,2,1
2712,4212,77,50,0,male,5,1
2713,4213,98,59,0,female,2,1
2714,4214,80,42,1,male,3,1
2715,4215,55,21,1,female,1,1
2716,4216,6,19,1,female,1,0
2717,4217,64,37,1,male,4,1
2718,4218,58,19,1,female,5,1
2719,4219,70,10,0,male,5,1
2720,4220,92,7,0,male,0,1
2721,4221,83,17,0,female,2,1
2722,4222,27,49,1,female,1,0
2723,4223,82,42,1,male,0,1
2724,4224,86,20,0,male,1,1
2725,4225,16,26,0,male,3,1
2726,4226,48,11,1,male,1,0
2727,4227,66,40,0,female,4,1
2728,4228,41,14,0,male,2,1
2729,4229,92,57,1,male,5,1
2730,4230,18,30,1,male,1,0
2731,4231,36,41,1,male,4,0
2732,4232,41,11,0,female,4,1
2733,4233,23,26,1,male,1,1
2734,4234,25,28,0,male,4,0
2735,4235,95,50,0,female,3,1
2736,4236,10,56,0,male,5,0
2737,4237,15,41,0,male,2,0
2738,4238,24,29,1,male,5,0
2739,4239,53,4,1,male,5,0
2740,4240,27,32,0,male,4,1
2741,4241,94,27,0,male,4,1
2742,4242,59,13,0,female,3,0
2743,4243,68,44,1,female,3,0
2744,4244,65,43,1,male,5,1
2745,4245,42,8,1,male,2,0
2746,4246,41,20,0,male,3,1
2747,4247,12,22,0,male,3,0
2748,4248,37,44,0,male,5,0
2749,4249,72,18,0,male,1,0
2750,4250,29,47,0,female,0,0
2751,4251,21,58,1,female,4,0
2752,4252,37,33,0,male,4,1
2753,4253,76,15,1,male,5,1
2754,4254,62,1,1,female,1,1
2755,4255,47,56,0,female,1,0
2756,4256,89,19,0,female,4,1
2757,4257,41,32,0,female,0,1
2758,4258,36,2,0,male,2,0
2759,4259,80,1,1,male,3,1
2760,4260,73,23,0,female,5,1
2761,4261,69,14,0,female,2,0
2762,4262,86,31,1,male,0,1
2763,4263,82,49,0,male,1,1
2764,4264,96,2,0,male,3,1
2765,4265,87,22,0,male,3,1
2766,4266,83,6,0,male,3,1
2767,4267,74,23,1,male,1,1
2768,4268,71,16,1,male,1,0
2769,4269,22,18,1,female,3,1
2770,4270,22,32,0,male,3,0
2771,4271,94,6,1,female,1,1
2772,4272,78,26,0,female,4,0
2773,4273,72,25,0,female,0,1
2774,4274,8,18,0,female,1,0
2775,4275,41,17,1,female,4,0
2776,4276,85,43,0,female,4,1
2777,4277,79,53,0,female,1,0
2778,4278,94,57,1,male,1,1
2779,4279,65,33,1,male,5,1
2780,4280,16,13,0,male,1,0
2781,4281,41,40,0,male,3,0
2782,4282,73,44,0,female,0,1
2783,4283,95,1,0,male,0,1
2784,4284,5,20,0,female,4,0
2785,4285,67,12,0,male,0,1
2786,4286,67,28,0,male,5,1
2787,4287,26,27,1,female,1,0
2788,4288,95,38,1,male,1,1
2789,4289,46,60,0,male,1,0
2790,4290,34,14,0,female,0,1
2791,4291,69,50,1,male,1,0
2792,4292,55,46,1,female,2,0
2793,4293,56,38,1,male,0,0
2794,4294,1,25,1,female,0,0
2795,4295,50,27,1,female,4,1
2796,4296,93,35,1,male,4,1
2797,4297,15,52,0,male,5,1
2798,4298,89,29,1,male,4,1
2799,4299,95,38,1,male,5,1
2800,4300,77,21,0,male,4,0
2801,4301,79,38,0,male,1,1
2802,4302,35,28,1,female,2,1
2803,4303,43,57,1,male,4,1
2804,4304,42,45,0,female,2,0
2805,4305,69,11,1,female,2,1
2806,4306,90,26,0,female,0,1
2807,4307,87,54,0,male,3,1
2808,4308,52,56,1,male,1,0
2809,4309,53,10,1,male,1,0
2810,4310,50,52,0,male,1,0
2811,4311,91,36,1,male,5,1
2812,4312,76,2,1,male,4,1
2813,4313,92,25,0,male,0,1
2814,4314,62,7,1,male,0,0
2815,4315,47,29,1,male,2,1
2816,4316,75,12,1,male,4,0
2817,4317,100,12,1,female,5,1
2818,4318,41,50,1,male,2,1
2819,4319,8,51,1,male,3,0
2820,4320,22,20,0,male,2,1
2821,4321,94,26,1,female,3,1
2822,4322,42,55,0,female,3,0
2823,4323,91,57,0,male,5,1
2824,4324,70,21,0,female,4,1
2825,4325,100,14,0,male,4,1
2826,4326,77,21,1,male,3,0
2827,4327,58,40,0,female,3,0
2828,4328,3,58,1,female,2,0
2829,4329,46,25,1,male,0,0
2830,4330,70,6,1,female,4,0
2831,4331,41,12,0,male,1,1
2832,4332,41,40,1,male,5,1
2833,4333,1,21,0,male,0,0
2834,4334,14,17,1,female,1,0
2835,4335,42,2,0,female,2,1
2836,4336,48,4,1,female,2,0
2837,4337,32,16,0,male,2,0
2838,4338,60,6,1,female,4,0
2839,4339,7,26,0,female,5,0
2840,4340,18,24,0,female,2,0
2841,4341,94,2,0,female,3,1
2842,4342,11,26,1,male,4,1
2843,4343,43,5,0,male,4,1
2844,4344,69,25,0,female,1,1
2845,4345,61,49,1,male,3,1
2846,4346,95,59,0,male,4,1
2847,4347,43,20,0,female,0,1
2848,4348,66,46,1,female,5,0
2849,4349,95,55,1,female,0,1
2850,4350,38,5,1,male,0,1
2851,4351,58,37,0,male,0,1
2852,4352,56,44,1,female,2,1
2853,4353,93,48,0,male,0,1
2854,4354,82,36,1,male,0,1
2855,4355,29,48,0,female,1,1
2856,4356,75,44,0,male,4,0
2857,4357,34,46,1,male,0,0
2858,4358,15,12,1,male,3,1
2859,4359,18,8,0,male,2,0
2860,4360,26,33,1,female,0,0
2861,4361,74,11,1,male,5,1
2862,4362,19,29,1,male,3,1
2863,4363,71,49,1,female,1,1
2864,4364,16,58,1,female,4,0
2865,4365,89,60,1,female,1,1
2866,4366,92,3,1,female,3,1
2867,4367,44,58,1,male,5,0
2868,4368,75,28,1,female,5,1
2869,4369,8,3,0,female,5,1
2870,4370,100,38,0,female,3,1
2871,4371,100,22,1,female,5,1
2872,4372,74,19,0,male,1,0
2873,4373,80,4,0,female,5,1
2874,4374,19,54,1,female,2,0
2875,4375,76,1,0,male,2,0
2876,4376,11,57,0,male,1,0
2877,4377,64,51,1,male,1,0
2878,4378,44,46,0,male,3,0
2879,4379,80,8,0,male,0,1
2880,4380,58,28,1,male,2,1
2881,4381,71,2,0,female,0,0
2882,4382,30,6,0,male,2,1
2883,4383,69,11,0,female,5,1
2884,4384,3,21,1,male,3,0
2885,4385,60,2,0,male,2,0
2886,4386,100,29,0,male,4,1
2887,4387,97,40,1,female,0,1
2888,4388,37,4,0,female,1,0
2889,4389,79,45,0,male,0,1
2890,4390,85,12,1,female,2,1
2891,4391,93,32,0,female,3,1
2892,4392,49,33,1,male,1,0
2893,4393,45,15,1,female,4,1
2894,4394,58,28,1,male,5,1
2895,4395,62,11,0,male,0,0
2896,4396,84,49,0,male,1,1
2897,4397,42,1,1,male,2,0
2898,4398,100,5,1,male,5,1
2899,4399,3,46,1,male,0,0
2900,4400,84,20,1,female,5,1
2901,4401,82,56,1,male,1,1
2902,4402,2,35,1,female,2,0
2903,4403,64,47,0,male,1,0
2904,4404,25,19,0,female,2,0
2905,4405,85,18,1,male,2,1
2906,4406,65,36,0,male,4,1
2907,4407,84,18,1,female,2,1
2908,4408,51,33,1,female,1,1
2909,4409,13,13,1,male,4,0
2910,4410,88,4,0,male,3,1
2911,4411,50,31,1,male,5,0
2912,4412,52,43,1,female,5,1
2913,4413,45,7,0,female,4,1
2914,4414,22,14,0,male,1,1
2915,4415,22,56,0,male,1,0
2916,4416,98,59,0,female,4,1
2917,4417,1,10,0,male,2,0
2918,4418,25,42,0,male,4,0
2919,4419,6,48,0,female,0,0
2920,4420,15,28,0,male,1,0
2921,4421,36,42,0,female,3,1
2922,4422,11,20,1,female,3,0
2923,4423,28,21,1,male,2,1
2924,4424,58,41,1,male,1,1
2925,4425,87,41,1,female,0,1
2926,4426,94,6,1,male,2,1
2927,4427,66,48,0,female,5,1
2928,4428,73,34,1,male,2,1
2929,4429,22,53,1,male,2,1
2930,4430,15,37,1,male,5,1
2931,4431,92,54,0,male,3,1
2932,4432,28,27,1,female,1,1
2933,4433,59,6,0,male,3,1
2934,4434,92,5,0,female,1,1
2935,4435,34,5,0,female,3,1
2936,4436,36,29,0,male,1,1
2937,4437,59,53,0,female,4,0
2938,4438,84,16,1,male,3,1
2939,4439,36,16,0,male,5,0
2940,4440,65,11,0,male,3,1
2941,4441,20,27,0,male,4,0
2942,4442,42,34,0,female,3,0
2943,4443,40,12,1,male,5,1
2944,4444,17,19,1,female,0,0
2945,4445,6,47,1,male,2,0
2946,4446,32,14,1,female,4,0
2947,4447,78,40,0,female,0,0
2948,4448,96,1,1,female,0,1
2949,4449,17,53,1,female,5,0
2950,4450,21,20,0,female,3,0
2951,4451,80,55,0,male,4,1
2952,4452,94,47,1,male,1,1
2953,4453,66,26,0,female,4,0
2954,4454,37,4,1,female,0,0
2955,4455,74,39,1,male,5,0
2956,4456,20,56,0,male,5,1
2957,4457,36,48,0,male,5,1
2958,4458,15,45,1,male,0,0
2959,4459,26,38,1,female,2,0
2960,4460,70,45,1,female,1,0
2961,4461,79,53,0,female,1,1
2962,4462,22,50,0,male,3,0
2963,4463,89,35,0,male,1,1
2964,4464,45,6,0,male,4,1
2965,4465,29,15,0,female,4,0
2966,4466,34,46,0,female,3,1
2967,4467,89,21,0,male,3,1
2968,4468,100,56,1,female,1,1
2969,4469,28,37,1,male,5,0
2970,4470,23,59,0,female,4,1
2971,4471,95,24,1,male,1,1
2972,4472,39,9,1,male,5,0
2973,4473,47,36,0,male,0,1
2974,4474,38,32,0,female,3,1
2975,4475,100,6,1,female,3,1
2976,4476,13,13,0,female,4,1
2977,4477,46,8,0,male,3,1
2978,4478,90,29,0,male,4,1
2979,4479,49,5,0,female,1,1
2980,4480,55,60,1,male,1,1
2981,4481,4,45,0,male,4,1
2982,4482,34,48,1,female,5,0
2983,4483,93,58,1,female,4,1
2984,4484,28,19,1,female,3,1
2985,4485,12,13,0,male,0,0
2986,4486,83,42,1,male,2,1
2987,4487,39,31,0,male,4,1
2988,4488,28,6,1,male,2,0
2989,4489,68,38,1,female,1,1
2990,4490,26,12,1,male,1,1
2991,4491,97,1,1,female,1,1
2992,4492,16,54,1,male,2,0
2993,4493,42,30,0,female,0,0
2994,4494,2,25,0,female,1,0
2995,4495,68,52,1,male,2,0
2996,4496,60,60,0,female,5,0
2997,4497,80,5,0,male,2,1
2998,4498,4,53,1,female,3,0
2999,4499,69,58,1,male,4,1
3000,4500,47,15,1,female,4,0
3001,4501,70,60,0,female,2,1
3002,4502,57,42,1,female,5,0
3003,4503,20,17,0,male,0,1
3004,4504,53,44,0,male,4,0
3005,4505,88,4,0,male,1,1
3006,4506,31,18,0,female,0,0
3007,4507,68,20,0,male,3,1
3008,4508,96,57,0,female,2,1
3009,4509,92,35,1,female,3,1
3010,4510,8,37,0,male,3,1
3011,4511,12,59,0,female,3,0
3012,4512,3,55,1,female,4,0
3013,4513,31,49,0,male,4,0
3014,4514,39,18,0,female,2,0
3015,4515,6,34,1,female,2,0
3016,4516,76,56,0,female,2,1
3017,4517,91,1,0,male,2,1
3018,4518,70,33,0,male,0,0
3019,4519,2,39,1,male,5,1
3020,4520,16,27,0,male,5,1
3021,4521,69,2,0,male,3,1
3022,4522,50,24,1,male,3,0
3023,4523,44,27,1,male,5,0
3024,4524,22,24,1,male,2,0
3025,4525,84,8,0,female,1,1
3026,4526,12,26,1,female,5,0
3027,4527,93,59,0,female,5,1
3028,4528,43,39,0,male,1,1
3029,4529,30,15,1,male,4,1
3030,4530,11,5,0,female,2,0
3031,4531,54,18,0,male,2,1
3032,4532,94,29,1,female,1,1
3033,4533,79,6,0,male,0,1
3034,4534,54,48,1,male,5,0
3035,4535,41,11,1,male,4,0
3036,4536,94,50,0,male,0,1
3037,4537,42,18,0,female,4,0
3038,4538,29,7,1,female,2,0
3039,4539,69,12,1,female,1,1
3040,4540,16,7,0,female,0,0
3041,4541,23,22,1,female,3,0
3042,4542,60,21,0,female,1,0
3043,4543,35,31,1,male,1,1
3044,4544,65,5,1,male,1,0
3045,4545,22,51,1,male,3,0
3046,4546,63,27,1,female,3,1
3047,4547,19,55,0,male,0,0
3048,4548,70,25,0,female,0,0
3049,4549,2,10,0,female,0,0
3050,4550,34,48,0,male,0,0
3051,4551,79,31,0,female,5,1
3052,4552,53,59,1,female,5,0
3053,4553,97,57,0,female,4,1
3054,4554,34,2,0,female,0,0
3055,4555,27,41,1,female,4,1
3056,4556,25,51,0,male,4,1
3057,4557,29,26,1,male,5,0
3058,4558,44,17,0,female,3,0
3059,4559,78,11,0,male,0,1
3060,4560,37,2,1,female,3,0
3061,4561,14,49,0,female,2,0
3062,4562,12,39,0,male,4,0
3063,4563,88,42,0,female,5,1
3064,4564,83,7,0,male,2,1
3065,4565,94,36,1,male,3,1
3066,4566,17,33,1,female,1,0
3067,4567,35,54,1,female,5,1
3068,4568,47,34,1,female,1,0
3069,4569,5,34,0,male,1,0
3070,4570,43,10,0,female,3,1
3071,4571,91,39,1,female,5,1
3072,4572,92,26,1,female,2,1
3073,4573,61,54,1,female,1,1
3074,4574,8,3,0,male,5,0
3075,4575,13,60,0,male,4,1
3076,4576,13,16,0,male,3,0
3077,4577,35,28,0,male,4,0
3078,4578,96,39,0,female,5,1
3079,4579,100,10,1,male,5,1
3080,4580,70,20,0,female,5,1
3081,4581,49,46,0,female,4,0
3082,4582,71,32,1,male,4,1
3083,4583,54,45,0,male,5,0
3084,4584,62,51,0,female,3,0
3085,4585,11,13,1,female,2,0
3086,4586,35,48,0,female,4,0
3087,4587,38,24,1,female,5,1
3088,4588,9,30,0,male,0,0
3089,4589,81,25,1,male,3,1
3090,4590,85,38,1,male,1,1
3091,4591,57,27,0,male,3,1
3092,4592,71,8,1,male,4,0
3093,4593,21,41,1,female,2,1
3094,4594,21,15,1,female,3,0
3095,4595,46,60,1,female,0,1
3096,4596,11,33,0,female,0,0
3097,4597,20,25,1,female,0,1
3098,4598,61,57,0,male,2,0
3099,4599,63,25,0,male,0,0
3100,4600,48,6,1,female,2,1
3101,4601,55,34,1,female,3,0
3102,4602,72,49,0,male,4,0
3103,4603,92,57,1,male,5,1
3104,4604,72,32,0,male,5,1
3105,4605,94,23,1,male,3,1
3106,4606,56,14,0,male,1,0
3107,4607,81,35,0,female,1,1
3108,4608,81,38,0,female,2,1
3109,4609,39,3,0,female,4,1
3110,4610,80,2,1,male,4,1
3111,4611,31,33,1,male,3,0
3112,4612,80,12,1,female,4,1
3113,4613,10,19,0,male,5,1
3114,4614,74,3,0,female,1,1
3115,4615,24,47,1,male,2,0
3116,4616,21,1,1,male,0,0
3117,4617,11,11,1,male,2,0
3118,4618,53,41,0,female,1,0
3119,4619,36,48,1,male,1,1
3120,4620,77,45,0,male,2,0
3121,4621,94,56,0,male,1,1
3122,4622,41,2,0,male,4,1
3123,4623,43,7,0,male,1,1
3124,4624,53,3,0,male,1,1
3125,4625,47,47,1,female,1,0
3126,4626,79,36,0,male,4,1
3127,4627,12,46,0,female,5,0
3128,4628,74,52,1,male,5,1
3129,4629,97,12,1,male,1,1
3130,4630,88,3,1,male,2,1
3131,4631,94,8,1,male,0,1
3132,4632,50,55,0,male,2,1
3133,4633,38,29,1,male,3,1
3134,4634,41,19,0,female,4,1
3135,4635,19,14,0,female,1,0
3136,4636,46,49,0,female,1,1
3137,4637,91,58,1,male,2,1
3138,4638,3,33,1,male,0,0
3139,4639,92,11,1,male,5,1
3140,4640,51,42,0,female,3,0
3141,4641,37,22,0,female,1,0
3142,4642,53,51,0,female,4,1
3143,4643,32,55,0,female,2,0
3144,4644,38,9,1,male,4,1
3145,4645,64,33,0,female,1,0
3146,4646,69,28,0,male,3,0
3147,4647,53,43,0,male,0,1
3148,4648,63,54,1,female,0,0
3149,4649,27,48,1,male,5,1
3150,4650,64,21,1,female,5,1
3151,4651,68,42,1,female,4,0
3152,4652,100,40,0,male,4,1
3153,4653,88,10,0,female,4,1
3154,4654,91,16,0,female,5,1
3155,4655,32,5,1,female,3,0
3156,4656,12,12,1,male,1,0
3157,4657,82,31,1,female,1,1
3158,4658,44,32,1,female,1,1
3159,4659,46,33,1,female,3,1
3160,4660,91,45,0,male,0,1
3161,4661,91,22,1,female,2,1
3162,4662,16,59,0,male,3,0
3163,4663,86,53,1,male,2,1
3164,4664,64,33,0,female,4,1
3165,4665,17,53,1,male,1,0
3166,4666,78,9,0,female,3,1
3167,4667,62,40,0,female,3,0
3168,4668,25,10,0,male,5,0
3169,4669,86,43,0,male,4,1
3170,4670,97,39,1,male,4,1
3171,4671,60,26,0,female,0,1
3172,4672,89,1,0,female,5,1
3173,4673,54,53,0,male,5,1
3174,4674,24,44,0,male,5,0
3175,4675,77,57,1,female,5,0
3176,4676,29,23,0,male,1,1
3177,4677,100,51,1,male,3,1
3178,4678,64,9,0,female,5,1
3179,4679,17,6,0,male,2,0
3180,4680,17,13,1,male,3,1
3181,4681,20,54,0,female,2,0
3182,4682,81,38,1,male,1,1
3183,4683,56,59,1,female,2,1
3184,4684,29,5,0,male,2,0
3185,4685,38,49,0,male,5,0
3186,4686,54,14,1,male,1,0
3187,4687,38,56,1,male,5,0
3188,4688,88,59,0,male,3,1
3189,4689,98,39,0,male,1,1
3190,4690,15,12,0,female,5,1
3191,4691,83,54,0,male,2,1
3192,4692,61,19,1,male,5,1
3193,4693,57,20,1,male,0,0
3194,4694,98,1,1,female,3,1
3195,4695,14,48,0,female,4,1
3196,4696,27,40,1,female,5,0
3197,4697,46,38,0,female,2,1
3198,4698,54,44,1,female,2,0
3199,4699,61,5,0,female,2,1
3200,4700,27,27,0,male,0,1
3201,4701,9,12,0,female,2,0
3202,4702,81,54,0,male,4,1
3203,4703,40,33,1,female,4,1
3204,4704,22,19,0,male,3,1
3205,4705,55,4,0,female,4,1
3206,4706,38,59,0,male,3,0
3207,4707,33,47,1,female,1,1
3208,4708,64,5,0,female,0,1
3209,4709,80,53,0,female,1,0
3210,4710,50,1,0,female,5,1
3211,4711,11,56,1,male,3,1
3212,4712,2,5,1,male,2,0
3213,4713,84,4,1,male,0,1
3214,4714,66,31,0,female,5,1
3215,4715,40,51,0,female,5,0
3216,4716,19,51,1,female,1,0
3217,4717,29,58,1,male,2,0
3218,4718,8,2,1,female,0,0
3219,4719,77,21,1,male,5,1
3220,4720,13,44,1,male,3,1
3221,4721,60,1,0,female,1,1
3222,4722,10,28,0,male,1,0
3223,4723,70,18,0,male,5,1
3224,4724,71,28,0,female,1,0
3225,4725,26,1,1,female,1,1
3226,4726,80,33,1,male,4,0
3227,4727,78,27,0,male,2,1
3228,4728,95,20,0,male,5,1
3229,4729,30,53,1,male,1,1
3230,4730,39,52,0,male,2,1
3231,4731,99,49,0,male,0,1
3232,4732,28,58,1,male,3,1
3233,4733,56,1,0,male,1,1
3234,4734,8,57,0,female,0,0
3235,4735,81,15,0,male,2,1
3236,4736,32,15,1,male,1,1
3237,4737,52,34,1,male,2,0
3238,4738,46,19,1,male,1,0
3239,4739,54,45,0,female,2,1
3240,4740,49,59,0,female,1,1
3241,4741,38,40,1,female,4,1
3242,4742,3,9,1,male,3,1
3243,4743,91,31,0,male,2,1
3244,4744,18,19,0,female,5,0
3245,4745,14,10,0,male,1,0
3246,4746,4,21,1,male,2,0
3247,4747,61,17,0,male,2,1
3248,4748,43,56,1,male,5,0
3249,4749,42,39,1,male,0,0
3250,4750,48,29,1,female,5,0
3251,4751,95,5,1,female,4,1
3252,4752,41,9,1,male,0,0
3253,4753,36,58,0,female,5,0
3254,4754,12,20,0,male,5,1
3255,4755,3,48,0,female,1,0
3256,4756,95,17,1,female,1,1
3257,4757,5,59,1,male,0,0
3258,4758,41,7,0,female,3,0
3259,4759,48,14,0,male,0,1
3260,4760,93,34,1,male,4,1
3261,4761,75,42,0,female,4,0
3262,4762,23,56,1,male,5,0
3263,4763,72,26,0,male,3,0
3264,4764,24,1,0,male,1,0
3265,4765,89,58,1,female,0,1
3266,4766,36,51,0,male,5,0
3267,4767,26,15,0,male,3,0
3268,4768,15,52,0,male,0,0
3269,4769,50,36,0,female,2,0
3270,4770,98,3,1,male,0,1
3271,4771,61,14,1,female,3,0
3272,4772,15,55,1,male,5,1
3273,4773,27,1,0,male,3,1
3274,4774,40,50,1,male,4,0
3275,4775,98,8,1,female,0,1
3276,4776,68,4,0,female,2,1
3277,4777,11,4,0,male,3,1
3278,4778,50,58,0,female,4,1
3279,4779,24,55,0,female,3,0
3280,4780,16,42,0,female,3,0
3281,4781,79,24,1,female,1,0
3282,4782,3,6,0,male,2,0
3283,4783,40,38,1,male,0,1
3284,4784,70,5,0,male,3,1
3285,4785,99,13,1,female,4,1
3286,4786,39,6,0,male,4,1
3287,4787,35,8,1,female,3,0
3288,4788,99,30,0,male,2,1
3289,4789,11,13,1,male,1,0
3290,4790,33,14,0,male,0,1
3291,4791,34,36,1,male,0,1
3292,4792,3,13,0,male,4,0
3293,4793,2,17,1,female,2,0
3294,4794,8,55,1,female,5,1
3295,4795,91,4,0,male,0,1
3296,4796,63,20,1,male,4,0
3297,4797,82,32,1,male,1,1
3298,4798,89,35,0,female,1,1
3299,4799,45,27,1,female,1,0
3300,4800,23,45,1,female,0,1
3301,4801,6,18,1,male,5,0
3302,4802,11,15,0,female,0,0
3303,4803,97,34,1,male,5,1
3304,4804,85,5,0,female,2,1
3305,4805,50,21,1,female,1,1
3306,4806,52,52,0,male,5,1
3307,4807,50,60,0,female,1,1
3308,4808,51,43,0,male,0,1
3309,4809,14,18,1,male,4,1
3310,4810,93,12,1,female,4,1
3311,4811,81,14,1,male,2,1
3312,4812,55,48,0,male,3,0
3313,4813,53,21,1,female,2,0
3314,4814,89,11,1,male,2,1
3315,4815,35,18,1,male,1,0
3316,4816,18,39,0,female,4,0
